x1,x2,x3,x4,x5,eps
2.06,0.11,99.85,21,0,-1.16
1.49,0.24,62.625,25,0,0.52
1.6,0.195,52.76,19,55200,0.35
2.61,0.21,113.8,9,33367,1.16
0.96,0.25,41.315,8,709152,2.01
1.5,0.195,42.565,10,170760,0.58
3.14,0.215,24.42,3,122773,1.12
1.78,0.205,100.565,5,75009,0.86
1.265,0.34,60.37,6,60786,1.16
0.925,0.25,66.475,3,122411,2.78
0.735,0.285,109.135,3,20424,0.4
2.145,0.11,110.43,21,78.5,-0.85
1.395,0.19,65.365,25,48289.5,0.42
1.505,0.145,67.47,5.5,89799,0.49
1.375,0.185,42.91,10,149549.5,0.72
2.975,0.19,31.125,3,119853.5,0.95
1.435,0.105,83.385,3.5,11571,0.57
2.095,0.515,63.085,4,47073.5,1.19
1.69,0.2,101.375,5,85260,1.22
1.21,0.32,62.35,8.5,53734.5,1.32
0.885,0.235,69.9,2.5,143889.5,3.3
1.95,0.21,54.21,21,77500,0.69
2.955,0.295,92.715,10,120564,0.45
1.625,0.15,69.865,5,69208,0.23
2.61,0.16,43.44,3,116934,0.57
1.395,0.1,79.905,4,10904,0.44
2.24,0.535,60.465,4,52893,1.38
0.785,0.22,75.54,6,25450,0.46
1.505,0.385,66.94,7,484918,4.18
0.935,0.25,71.13,2,165368,2.74
0.8,0.275,109.015,3,11751,0.37
2.165,0.105,126.805,21,157,0.03
2.46,0.25,139.5,10,120564,-1.54
1.525,0.135,87.175,5,69208,0.17
2.3,0.57,57.395,4,52893,1.15
2.395,0.535,60.525,1,41747,-0.19
1.73,0.235,72.12,5,95511,0.49
0.735,0.2,88.725,6,25450,-0.16
1.42,0.39,60.2,7,484918,2.78
0.88,0.24,86.41,2,165368,0.68
0.81,0.27,117.01,3,11751,-0.29
1.435,0.21,101.41,9,322602,0.57
1.85,0.21,60.52,21,77500,0.09
1.525,0.13,95.11,5,69208,0.41
0.845,0.24,50.58,8,808944,1.53
2.35,0.125,39.555,3,116934,0.44
1.21,0.09,84.85,4,10904,0.17
2.155,0.585,57.205,4,52893,1.12
2.17,0.54,73.42,1,41747,0.51
0.765,0.185,93.255,6,25450,0.2
1.315,0.355,69.975,7,484918,2.91
1.23,0.26,71.795,11,46683,0.3
0.84,0.225,100.385,2,165368,2.32
0.775,0.26,136.645,3,11751,-0.13
1.185,0.03,86.705,11,6404,-0.26
1.59,0.23,88.135,9.5,293122,1.29
2.64,0.11,134.9,20.5,78.5,-1.5
2.915,0.15,76.61,7,2788769.5,3.05
1.91,0.17,79.69,21,61250,0.62
2.295,0.11,48.625,3,99775.5,0.35
1.27,0.185,67.545,1,32936,0.84
2.21,0.545,71.225,1,66522,0.78
0.795,0.175,86.155,7,12725,-0.06
1.355,0.32,83.31,7.5,411309.5,2.52
1.185,0.235,82.02,11,36527.5,0.77
0.87,0.23,97.885,2,126950.5,1.58
1.565,0.04,66.095,11,0,0.2
0.9,0.15,56.315,25,0,0.24
2.025,0.18,81.4,21,45000,0.25
2.675,0.225,167.53,11,0,-0.08
1.625,0.14,87.97,5,0,0.07
0.895,0.23,53.055,8,652090,1.54
1.205,0.07,98.49,5,0,0.27
1.925,0.45,60.76,4,59328,1.07
1.81,0.195,106.175,5,64003,0.7
0.745,0.16,78.985,8,0,0.08
1.23,0.25,73.67,11,26372,0.85
0.74,0.24,141.38,4,0,0.29
1.32,0.035,54.285,11,0,-0.72
1.555,0.24,72.695,10,263642,0.57
2.75,0.105,153.745,20,0,-0.79
2.85,0.16,67.89,7,1714243,2.64
1.39,0.18,56.575,10,17869,0.17
2.025,0.48,50.685,4,59328,0.87
1.22,0.175,83.5,1,24140,0.37
1.605,0.2,98.715,5,64003,0.43
0.735,0.15,83.135,8,0,-0.51
1.255,0.28,60.335,11,26372,0.56
0.825,0.235,89.79,2,88533,1.82
0.82,0.02,82.135,11,0,-0.55
3.005,0.105,146.155,20,0,-0.12
0.805,0.165,60.545,25,0,-0.04
1.835,0.19,73.125,21,45000,0.49
1.55,0.145,80.695,5,0,0.27
0.83,0.235,46.395,8,652090,1.3
2.02,0.16,44.235,3,82617,0.91
1.1,0.055,202.83,5,0,0.13
1.78,0.49,47.46,4,59328,0
1.11,0.17,82.37,1,24140,0.6
0.71,0.135,114.435,8,0,-0.22
1.34,0.335,84.66,8,337701,2.69
0.86,0.01,93.19,11,0,-0.53
3.115,0.1,142.69,19.5,0,-3.53
0.81,0.155,59.515,22.5,0,0.13
2.765,0.15,68.355,9,1305059,3.23
1.98,0.2,68.8,19,87500,0.74
2.165,0.19,151.79,11,0,-0.02
2.16,0.195,32.6,3,90127,0.73
1.105,0.055,221.43,5,2760.5,0.3
1.135,0.175,78.67,1,23210,0.92
1.485,0.17,121.255,5,66033.5,0.82
0.78,0.14,123.75,8,0,-0.28
1.315,0.33,75.885,8,356968,3.3
0.73,0.215,144.695,4,0,-0.05
1.425,0.01,65.635,11,0,-0.12
1.475,0.14,94.255,24,0,-0.03
0.91,0.16,56.145,20,0,0.15
2.89,0.14,72.835,11,895875,4.32
1.965,0.225,65.33,17,130000,0.88
1.48,0.205,69.74,6,30150,0.31
2.345,0.195,36.445,3,97637,0.64
1.535,0.07,120.4,5,5521,0.17
1.705,0.375,62.52,4,68889,0
1.26,0.195,76.375,1,22280,0.86
1.375,0.335,68.845,8,376235,3.1
0.9,0.22,86.23,6,159359,2.42
0.765,0.21,141.965,4,0,0.1
2.415,0.015,65.84,11,0,-1.18
3.07,0.09,125.455,19,0,-2.09
1.465,0.16,104.28,24,0,-1.59
0.945,0.17,55.465,20,0,-0.11
3.415,0.155,64.72,11,895875,3.95
1.75,0.245,72.665,17,130000,0.86
1.375,0.205,72.165,6,30150,0.16
0.945,0.25,46.925,8,783069,2.21
2.3,0.175,45.445,3,97637,0.34
1.69,0.07,116.71,5,5521,0.13
0.83,0.17,95.935,8,0,-0.86
2.68,0.02,79.015,11,0,-0.24
1.69,0.22,68.36,11,144338,1.45
0.885,0.155,58.665,20,0,0.17
3.66,0.145,68.185,11,895875,2.79
1.745,0.07,106.3,5,5521,0.17
0.775,0.165,89.695,8,0,-0.12
0.68,0.19,142.785,4,0,-0.13
1.905,0.235,73.705,11,440973.5,1.56
0.845,0.13,70,18,957.5,0.05
3.595,0.12,81.53,9,1244675.5,5.01
2.14,0.215,136.075,11,91842.5,1.02
1.27,0.17,87.835,6,30628.5,0.21
1.78,0.065,102.705,5,6217,0.21
1.55,0.34,53.275,4,50708.5,0.14
0.695,0.145,92.04,8,0,-0.23
1.99,0.01,159.965,12.5,0,0.06
2.05,0.24,76.035,11,737609,1.64
0.9,0.13,75.62,16,1915,0.18
3.725,0.13,72.43,7,1593476,6.28
2.285,0.23,131.16,11,183685,0.55
1.37,0.175,87.085,6,31107,0.53
2.145,0.065,99.02,5,6913,0.24
0.99,0.17,71.905,4,120947,1.81
0.795,0.21,123.92,4,0,-0.08
1.97,0.22,73.89,11,737609,1.39
0.94,0.145,69.83,16,1915,0.13
3.755,0.155,53.52,7,1593476,6.43
2.445,0.235,127.175,11,183685,0.44
2.37,0.07,106.77,5,6913,0.24
1.955,0.325,42.97,4,32528,1.07
1.4,0.195,64.18,1,21497,0.58
0.865,0.165,71.62,8,0,-0.41
1.065,0.18,62.465,4,120947,1.39
0.85,0.21,104.88,4,0,-0.52
2.46,0.16,43.4,2,248.66,1.83
